Object Type	Object ID	Object Name	Object Caption	Object Subtype	App Name
TableData	4401	EXR Aging Report Buffer	Aging Report Buffer	Temporary	Dynamics BC Excel Reports
TableData	4402	EXR Trial Balance Buffer	Trial Balance Buffer	Temporary	Dynamics BC Excel Reports
TableData	4404	EXR Top Vendor Report Buffer	Top Vendor Data	Temporary	Dynamics BC Excel Reports
TableData	4405	EXR Top Customer Report Buffer	Top Customer Data	Temporary	Dynamics BC Excel Reports
TableData	50100	EnterpriseMasterTable	Enterprise Master Table	Normal	WYS002-MSMECustomization
TableData	50200	PO & SO Link	PO & SO Link	Normal	WY-Customizations
TableData	50201	Serial No Tracking	Serial No Tracking	Normal	WY-Customizations
TableData	50202	Serial Tracking Log	Serial Tracking Log	Normal	WY-Customizations
TableData	50203	Sale Order Upload Util Staging	Sale Order Upload Util Staging	Normal	WY-Customizations
TableData	50251	Billing Frequency	Billing Frequency	Normal	WY-Customizations
TableData	50252	Deferral Calculation Header	Deferral Calculation Header	Normal	WY-Customizations
TableData	50253	Deferral Calculation Lines	Deferral Calculation Lines	Normal	WY-Customizations
TableData	50254	Custom Notification Billing	Custom Notification Billing	Normal	WY-Customizations
TableData	50255	Deferral Upload Staging	Deferral Upload Staging	Normal	WY-Customizations
TableData	50256	After Invoice PO Link	After Invoice PO Link	Normal	WY-Customizations
TableData	50287	Costing Reconciliation	Costing Reconciliation	Normal	WY-Customizations
TableData	50289	Costing Reco Remaining Qty	Costing Reco Remaining Qty	Normal	WY-Customizations
TableData	50290	Costing Reco Qty Sales	Costing Reco Qty Sales	Normal	WY-Customizations
TableData	50291	Costing Reco Update	Costing Reco Update	Normal	WY-Customizations
TableData	50292	Get Sales Line Staging	Get Sales Line Staging	Normal	WY-Customizations
TableData	50293	Update Tally Document No.	Update Tally Document No.	Normal	WY-Customizations
TableData	50294	Serial No Tracking New	Serial No Tracking New	Normal	WY-Customizations
TableData	50500	TDS Summary Bridge table	TDS Summary Bridge table	Normal	WY-Reports
TableData	50501	Register Bridge Table	Register Bridge Table	Normal	WY-Reports
TableData	50502	Ledger Reconcilation	Ledger Reconcilation	Normal	WY-Reports
TableData	50503	Balance Confirmation	Balance Confirmation	Normal	WY-Reports
TableData	50505	Cloud Billing Contribution	Cloud Billing Contribution	Normal	WY-Reports
TableData	50506	BKB and TDS Billing	BKB and TDS Billing	Normal	WY-Reports
TableData	50507	Rebate and ORC bridge	Rebate and ORC bridge	Normal	WY-Reports
TableData	50508	po Bridge Table	po Bridge Table	Normal	WY-Reports
TableData	50509	pending order bridge	pending order bridge	Normal	WY-Reports
TableData	50510	Monthly Debtors Bridge Table	Monthly Debtors Bridge Table	Normal	WY-Reports
TableData	50511	TestCustAmnt	Customer Amount	Normal	WY-Reports
TableData	50512	TestVendorAmnt	Vendor Amount_new	Normal	WY-Reports
TableData	50513	Costing Reco Nov24	Costing Reco Nov24	Normal	WY-Reports
TableData	50514	GL  entry update	GL  entry update	Normal	WY-Reports
TableData	50515	Stock Bridge	Stock Bridge	Normal	WY-Reports
TableData	50605	Sale Order UploadUtil Staging	Sale Order Upload Util Staging	Normal	WYS006-Sales Upload Utility
TableData	50607	SO Comment staging table	SO Comment staging table	Normal	WYS006-Sales Upload Utility
TableData	50651	Top Inv. Bridge table	Top Inv. Bridge table	Normal	WYS-MIS Reports
TableData	50703	ItemStagingTable	Item Staging Master	Normal	WYS005-BCE-CRM Integration
TableData	50704	SalesQtoSalesOStaggingTable	Sales Quote to Sales Order Stagging Master	Normal	WYS005-BCE-CRM Integration
TableData	50705	CommentStagingTable	Comment Staging Master	Normal	WYS005-BCE-CRM Integration
TableData	50706	ProductImportTable	Product Master	Normal	WYS005-BCE-CRM Integration
TableData	50731	CustCRMBusinessGroupTable	CustCRMBusinessGroupTable	Normal	WYS005-BCE-CRM Integration
TableData	50735	ItemCRMBusinessGroupTable	ItemCRMBusinessGroupTable	Normal	WYS005-BCE-CRM Integration
TableData	50742	CustomerStagingMaster	Customer Staging Master	Normal	WYS005-BCE-CRM Integration
TableData	50900	GL Entry Update-Vserve	GL Entry Update-Vserve	Normal	WY-Additional CR
TableData	50901	Item Appl. Entry Update-Vserve	Item Appl. Entry Update-Vserve	Normal	WY-Additional CR
TableData	50902	Item Ledg RemQty Update-Vserve	Item Ledg RemQty Update-Vserve	Normal	WY-Additional CR
TableData	50904	Sales Line Upload-Vserve	Sales Line Upload-Vserve	Normal	WY-Additional CR
TableData	60101	LUTMaster	LOA/LUT Master	Normal	WYS000-Customization
TableData	60102	DeclarationTemplateTable	Declaration Template	Normal	WYS000-Customization
TableData	60103	EndConsumerDetailsTable	End Consumer Details	Normal	WYS000-Customization
TableData	60104	EInvoiceLedgerEntries	EInvoiceLedgerEntries	Normal	WYS000-Customization
TableData	60105	E-way Bill Details	E-way Bill Details	Normal	WYS000-Customization
TableData	60106	New E-way Bill Details	New E-way Bill Details	Normal	WYS000-Customization
TableData	60107	UpdateData	UpdateData	Normal	WYS000-Customization
TableData	60108	HSN-Table Report	HSN-Table Report	Normal	WYS000-Customization
Table	4401	EXR Aging Report Buffer	Aging Report Buffer	Temporary	Dynamics BC Excel Reports
Table	4402	EXR Trial Balance Buffer	Trial Balance Buffer	Temporary	Dynamics BC Excel Reports
Table	4404	EXR Top Vendor Report Buffer	Top Vendor Data	Temporary	Dynamics BC Excel Reports
Table	4405	EXR Top Customer Report Buffer	Top Customer Data	Temporary	Dynamics BC Excel Reports
Table	50100	EnterpriseMasterTable	Enterprise Master Table	Normal	WYS002-MSMECustomization
Table	50200	PO & SO Link	PO & SO Link	Normal	WY-Customizations
Table	50201	Serial No Tracking	Serial No Tracking	Normal	WY-Customizations
Table	50202	Serial Tracking Log	Serial Tracking Log	Normal	WY-Customizations
Table	50203	Sale Order Upload Util Staging	Sale Order Upload Util Staging	Normal	WY-Customizations
Table	50251	Billing Frequency	Billing Frequency	Normal	WY-Customizations
Table	50252	Deferral Calculation Header	Deferral Calculation Header	Normal	WY-Customizations
Table	50253	Deferral Calculation Lines	Deferral Calculation Lines	Normal	WY-Customizations
Table	50254	Custom Notification Billing	Custom Notification Billing	Normal	WY-Customizations
Table	50255	Deferral Upload Staging	Deferral Upload Staging	Normal	WY-Customizations
Table	50256	After Invoice PO Link	After Invoice PO Link	Normal	WY-Customizations
Table	50287	Costing Reconciliation	Costing Reconciliation	Normal	WY-Customizations
